PRODUCT_ID,TITLE_DK,TITLE_DK2,PRODUCT_TYPE,STATUS,STOCK,STOCK_LOW,STOCK_IN_ORDER,STOCK_DIFFERENCE,STOCK_LOCATION_PRIMARY,CALL_FOR_PRICE,DISABLE_ON_EMPTY,MANUFACTURER_ID,DELIVERY_ID,FREIGHT_ID,OUT_OF_STOCK_BUY,AUTO_STOCK,UNIT_ID,Number,SUPPLIER_NUMBER,EAN,PRODUCT_LINK,URL,WEIGHT,FOCUS_FRONTPAGE,FOCUS_CART,SORTING,LANGUAGE_LAYERS,USER_ACCESS,USERGROUP_ACCESS,RELATED_PRODUCT_IDS,RELATED_PRODUCT_NUMBERS,PRODUCT_ADDITIONAL_DATA_TYPES,PDF_FILES,DATE_ADDED,DATE_UPDATED,DELETE,DESCRIPTION_LIST_DK,DESCRIPTION_LIST_DK2,DESCRIPTION_LONG_DK,DESCRIPTION_LONG_DK2,DESCRIPTION_SHORT_DK,DESCRIPTION_SHORT_DK2,CATEGORY_ID,SUB_CATEGORY_ID,CATEGORY_SORTINGS,LIST_PRICE,BUY_PRICE,MIN_AMOUNT,PRICE,DISCOUNT,DISCOUNT_TYPE,DISCOUNT_GROUP,VAT_GROUP,PICTURES,URL_PICTURE,PICTURE_FOLDER,SEO_TITLE_DK,SEO_TITLE_DK2,SEO_DESCRIPTION_DK,SEO_DESCRIPTION_DK2,SEO_KEYWORDS_DK,SEO_KEYWORDS_DK2,SEO_LINK_DK,SEO_LINK_DK2,SEO_CANONICAL_DK,SEO_CANONICAL_DK2,VARIANT_ID,VARIANT_TYPES,CUSTOM_DATA_1_DK,CUSTOM_DATA_1_DK2,CUSTOM_DATA_2_DK,CUSTOM_DATA_2_DK2,CUSTOM_DATA_3_DK,CUSTOM_DATA_3_DK2,CUSTOM_DATA_4_DK,CUSTOM_DATA_4_DK2,CUSTOM_DATA_5_DK,CUSTOM_DATA_5_DK2,CUSTOM_DATA_6_DK,CUSTOM_DATA_6_DK2,EXTRA_BUY_CATEGORY_1,EXTRA_BUY_CATEGORY_2,PRICEINDEX_ANNONSFYND,PRICEINDEX_EDBPRISER,PRICEINDEX_FACEBOOK,PRICEINDEX_GOOGLE_ADWORDS,PRICEINDEX_KELKOO,PRICEINDEX_PRICERUNNER,PRICEINDEX_BRUGERDEFINERET_,EDBPRISER_ID,GOOGLE_CATEGORY_ID
23,Kegler 15 cm,Rød kegle 16 cm,0,1,12,0,0,12,0,0,1,0,standard,,1,0,7,1750,,7.33E+12,,/shop/150-diverse-udstyr/23-kegler-15-cm/,"0,28",0,0,25,DK_1,,,,,,,11/12/2012 10:39,11/3/2023 13:44,,,,Røde kegler <br />Kan bruges til DKK lydighedsprogram 16cm.,Røde kegler <br />Kan bruges til DKK lydighedsprogram 16cm.,"<ul>	<li>Kegler til eksempelvis lydighedstræning</li>	<li>Kraftig kvalitet</li>	<li>Kan stables</li>	<li>Farver: gul og rød</li></ul><p> </p><p>bemærk* assorteret farve, skriv til os hvis en bestemt farve ønskes</p>","<ul>	<li>Kegler til eksempelvis lydighedstræning</li>	<li>Kraftig kvalitet</li>	<li>Kan stables</li>	<li>Vælg mellem rød eller gul</li></ul>",150,,,0,0,1,60,0,a,0,0,kegle-hundetraening-udstyr1.jpg,/upload_dir/shop/kegle-hundetraening-udstyr1.jpg,,Rød kegle 16 cm,Rød kegle 16 cm,Kegle til markering i eksempelvis lydighed eller rally. ,,"hundeudstyr, hundetræningsudstyr, hunde udstyr, hundetrænings udstyr, hundetræning, lydighed, udstyr til lydighed, kegle, kegler til træning, kegler til lydighed, kegler til hundetræning, plastickegle, plastic kegle, markeringsudstyr, markerings udstyr, kegle hund, 15cm kegle, kegle, ",,,,,,,30|18,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
23,L|Sort,L|Sort,,1,1,0,0,1,,,1,,0,,,,1,16832597,,7.35E+12,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,1,599,74,a,,,,,,,,,,,,,,,,6454,30|18,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
23,3XL|Sort,3XL|Sort,,1,1,0,0,1,,,1,,0,,,,1,53678419,,7.35E+12,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,1,599,74,a,,,,,,,,,,,,,,,,6455,30|18,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,Kædehalsbånd,Kædehalsbånd,0,1,0,0,0,0,0,0,1,0,standard,,1,0,7,123456,,39553805,,/shop/188-halsbaand/26-kaedehalsbaand/,"0,09",0,0,44,DK_1,,,1527|1402|1389|1391,7045,,,11/12/2012 10:39,10/18/2023 10:10,,,,,Rustfri kæder,<p>Rustfri kæder</p><p> </p><p>obs: måles fra indersiden af ringene</p><p> </p>,,188,142,,0,0,1,125,0,a,0,0,kaedehalsbaand-hannols-kaeder.jpg,/upload_dir/shop/kaedehalsbaand-hannols-kaeder.jpg,,Kædehalsbånd,Kædehalsbånd,Ekstremt stærkt kædehalsbånd. ,,"kædehalsbånd, kæder, kvælerhalsbånd, hannol, hannols kæder, kæde, kvæler halsbånd, halsbånd med kvæl, kæde halsbånd, ","kædehalsbånd, kæder, kvælerhalsbånd, hannol, hannols kæder",,,,,,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,24cm,,,1,6,0,0,6,,,1,,standard,,,,7,7066,,92085336,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5112,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,"26,5cm",,,1,5,0,0,5,,,1,,standard,,,,7,7067,,19887951,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5113,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,29cm,,,1,10,0,0,10,,,1,,standard,,,,7,7068,,73415695,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5114,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,32cm,,,1,3,0,0,3,,,1,,standard,,,,7,7069,,18067552,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5115,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,34cm,,,1,7,0,0,7,,,1,,standard,,,,7,7070,,73265474,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5116,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
26,36cm,,,1,6,0,0,6,,,1,,standard,,,,7,7071,,79182485,,,"0,09",,,0,,,,,,,,,,,,,,,,,,,,,0,1,125,0,a,,,,,,,,,,,,,,,,5117,46,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
